Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Seraphin, spectacle de	, Paris, France	Seraphin, spectacle de, Paris, France			 			 	13	 	 	 	13
Sergents, barrière des	, Paris, France	Sergents, barrière des, Paris, France			 			 	8	 	 	 	8
Serpente, rue	, Paris, France	Serpente, rue, Paris, France	48.85245, 2.341065		 			 	6	 	 	 	6
Servel, Cafe	, Paris, France	Servel, Cafe, Paris, France			 			 	6, 12	 	 	 	6, 12
Sevres	, Paris, France	Sevres, Paris, France			 			 	4, 12, 14	 	 	 	4, 12, 14
Sevres, rue de	, Paris, France	Sevres, rue de, Paris, France	48.834525, 2.275817		 			 	10	 	 	 	10
Simon-le-Franc, rue	, Paris, France	Simon-le-Franc, rue, Paris, France	48.85054, 2.35008		 			 	4	 	 	 	4
Singes, rue des	, Paris, France	Singes, rue des, Paris, France			 			 	4	 	 	 	4
Soissons, hotel de	, Paris, France	Soissons, hotel de, Paris, France	50.09643, 2.85933		 			 	8	 	 	 	8
Soleil, passage du	, Paris, France	Soleil, passage du, Paris, France			 			 	2	 	 	 	2
Soly, rue de	, Paris, France	Soly, rue de, Paris, France			 			 	4	 	 	 	4
Sorbonne, Ia	, Paris, France	Sorbonne, Ia, Paris, France	48.848615, 2.341945		 			 	 6, 12	 	 	 	 6, 12
Sorbonne, place de Ia	, Paris, France	Sorbonne, place de Ia, Paris, France			 			 	6	 	 	 	6
Souhise, hotel	, Paris, France	Souhise, hotel, Paris, France			 			 	4, 7	 	 	 	4, 7
Sourdière, rue de Ia	, Paris, France	Sourdière, rue de Ia, Paris, France			 			 	8	 	 	 	8
Sourds-Muets, les	, Paris, France	Sourds-Muets, les, Paris, France	49.96593, 3.970635		 			 	1	 	 	 	1
Souricière, Ia	, Paris, France	Souricière, Ia, Paris, France			 			 	11	 	 	 	11
Suresnes, rue de	, Paris, France	Suresnes, rue de, Paris, France			 			 	8	 	 	 	8
SiIrete Generale	, Paris, France	SiIrete Generale, Paris, France	48.83719, 2.365975		 			 	11	 	 	 	11
Tabar	, Paris, France	Tabar, Paris, France			 			 	12	 	 	 	12
Taitbout, rue	, Paris, France	Taitbout, rue, Paris, France	43.821755, 1.81865		 			 	 5, 9, 12, 14	 	 	 	 5, 9, 12, 14
Tanrade	, Paris, France	Tanrade, Paris, France	48.876975, 2.33548		 			 	12	 	 	 	12
Taranne, rue de	, Paris, France	Taranne, rue de, Paris, France			 			 	10	 	 	 	10
Temple	, Paris, France	Temple, Paris, France	48.864761, 2.36281		 			 	4	 	 	 	4
Temple boulevard'du	, Paris, France	Temple boulevard'du, Paris, France			 			 	4, 12, 13	 	 	 	4, 12, 13
Temple faubourg du	, Paris, France	Temple faubourg du, Paris, France	48.845964, 2.400937		 			 	4	 	 	 	4
Temple place de Ia Rotonde-du-	, Paris, France	Temple place de Ia Rotonde-du-, Paris, France	48.871835, 2.37631		 			 	4	 	 	 	4
Temple, rue du	, Paris, France	Temple, rue du, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Temple, rue du Faubourg-du-	, Paris, France	Temple, rue du Faubourg-du-, Paris, France			 			 	4	 	 	 	4
Temple, rue des Fosses-du-	, Paris, France	Temple, rue des Fosses-du-, Paris, France	43.870995, 4.586955		 			 	4, 12	 	 	 	4, 12
Ternes	, Paris, France	Ternes, Paris, France	48.88053, 2.285905		 			 	2	 	 	 	2
Terrain	, Paris, France	Terrain, Paris, France			 			 	11	 	 	 	11
Territoriale, Banque	, Paris, France	Territoriale, Banque, Paris, France	48.852615, 2.36235		 			 	4, 8	 	 	 	4, 8
Theatre Acrobate	, Paris, France	Theatre Acrobate, Paris, France			 			 	13	 	 	 	13
Theatre Français	, Paris, France	Theatre Français, Paris, France			 			 	8	 	 	 	8
Theatre Italien	, Paris, France	Theatre Italien, Paris, France	48.86317, 2.335795		 			 	9	 	 	 	9
Theatre du Vaudeville	, Paris, France	Theatre du Vaudeville, Paris, France			 			 	8	 	 	 	8
Theatre Ventadour	, Paris, France	Theatre Ventadour, Paris, France			 			 	8	 	 	 	8
Themis, Cafe	, Paris, France	Themis, Cafe, Paris, France			 			 	6, 12	 	 	 	6, 12
Thorigny, rue de	, Paris, France	Thorigny, rue de, Paris, France			 			 	7	 	 	 	7
Du Tillet et Cle	, Paris, France	Du Tillet et Cle, Paris, France			 			 	12	 	 	 	12
Tire-Boudin, rue	, Paris, France	Tire-Boudin, rue, Paris, France			 			 	4	 	 	 	4
Tivoli	, Paris, France	Tivoli, Paris, France	48.053765, -1.302733		 			 	2	 	 	 	2
Tivoli, quarter	, Paris, France	Tivoli, quarter, Paris, France			 			 	2	32	 	 	2
Tixeranderie, rue de Ia	, Paris, France	Tixeranderie, rue de Ia, Paris, France			 			 	4	 	 	 	4
Tonnellerie, rue de la	, Paris, France	Tonnellerie, rue de la, Paris, France	45.315758, 7.039426		 			 	4	 	 	 	4
Tortoni	, Paris, France	Tortoni, Paris, France	49.96593, 3.970635		 			 	9, 12	 	 	 	9, 12
Tour de Bois	, Paris, France	Tour de Bois, Paris, France	48.83785, 2.284255		 			 	8	 	 	 	8
Tournelie, quai tie la	, Paris, France	Tournelie, quai tie la, Paris, France	48.865485, 2.37886		 			 	3	 	 	 	3
Tournelles	, Paris, France	Tournelles, Paris, France	45.315758, 7.039426		 			 	4	 	 	 	4
Tournelles, palais des	, Paris, France	Tournelles, palais des, Paris, France	48.858315, 2.367153		 			 	4, 7	 	 	 	4, 7
Tonruelies, quarter of the	, Paris, France	Tonruelies, quarter of the, Paris, France	48.053765, -1.302733		 			 	7	 	 	 	7
Tournelles, rue des	, Paris, France	Tournelles, rue des, Paris, France			 			 	7	 	 	 	7
Tourniquet-Saint-jean	, Paris, France	Tourniquet-Saint-jean, Paris, France			 			 	4	 	 	 	4
Tourniquet-Saint-Jean, rue du	, Paris, France	Tourniquet-Saint-Jean, rue du, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Torn-non, rue de	, Paris, France	Torn-non, rue de, Paris, France	50.09643, 2.85933		 			 	6, 12	 	 	 	6, 12
Tours, hotel de	, Paris, France	Tours, hotel de, Paris, France			 			 	12	 	 	 	12
Transnonain, rue	, Paris, France	Transnonain, rue, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Transportation and'Communication (railway)	, Paris, France	Transportation and'Communication (railway), Paris, France			 			 	12	 	 	 	12
Transportation and'Communication (to and'from Paris)	, Paris, France	Transportation and'Communication (to and'from Paris), Paris, France			 			 	12	 	 	 	12
Transportation and'Communication (within Paris, public or private)	, Paris, France	Transportation and'Communication (within Paris, public or private), Paris, France			 			 	12	 	 	 	12
Traversière-Saint-Honoré, rue	, Paris, France	Traversière-Saint-Honoré, rue, Paris, France			 			 	8	 	 	 	8
Tresor	, Paris, France	Tresor, Paris, France	48.85709, 2.357785		 			 	8	 	 	 	8
Trevise, rue tie	, Paris, France	Trevise, rue tie, Paris, France			 			 	5	 	 	 	5
Tribunal du Commerce	, Paris, France	Tribunal du Commerce, Paris, France			 			 	11	 	 	 	11
Trois-Chandeliers, rue des	, Paris, France	Trois-Chandeliers, rue des, Paris, France	48.861385, 2.342854		 			 	6	 	 	 	6
Trois-Frères, rue des	, Paris, France	Trois-Frères, rue des, Paris, France	44.719885, -0.023449		 			 	5	 	 	 	5
Tronchet, rue	, Paris, France	Tronchet, rue, Paris, France	44.719885, -0.023449		 			 	5	 	 	 	5
Trone, barrière du	, Paris, France	Trone, barrière du, Paris, France	48.873055, 2.326685		 			 	2, 4	 	 	 	2, 4
Trousse-Vache, rue	, Paris, France	Trousse-Vache, rue, Paris, France			 			 	4	 	 	 	4
Trudon, rue	, Paris, France	Trudon, rue, Paris, France			 			 	8	 	 	 	8
Tuileries, Cour des	, Paris, France	Tuileries, Cour des, Paris, France			 			 	8	 	 	 	8
Tuileries, jardin des	, Paris, France	Tuileries, jardin des, Paris, France			 			 	8	 	 	 	8
Tuileries, Port des	, Paris, France	Tuileries, Port des, Paris, France			 			 	11	 	 	 	11
Tuileries, qual des	, Paris, France	Tuileries, qual des, Paris, France			 			 	8	 	 	 	8
Turc, Café	, Paris, France	Turc, Café, Paris, France			 			 	12	 	 	 	12
Turc, Jardin	, Paris, France	Turc, Jardin, Paris, France			 			 	12	 	 	 	12
Turenne, rue de	, Paris, France	Turenne, rue de, Paris, France			 			 	7	 	 	 	7
UIm, rue d'	, Paris, France	UIm, rue d', Paris, France			 			 	3	 	 	 	3
Union, Cercle de l'	, Paris, France	Union, Cercle de l', Paris, France			 			 	12	 	 	 	12
Universite, l'	, Paris, France	Universite, l', Paris, France	48.852615, 2.36235		 			 	6	 	 	 	6
Universite, Domaine de l'	, Paris, France	Universite, Domaine de l', Paris, France	48.861125, 2.30285		 			 	6	 	 	 	6
Universite, rue de l'	, Paris, France	Universite, rue de l', Paris, France	50.09643, 2.85933		 			 	10	 	 	 	10
Université de Paris, l	, Paris, France	Université de Paris, l, Paris, France	43.168795, 3.01791		 			 	6	 	 	 	6
Ursulines, convent	, Paris, France	Ursulines, convent, Paris, France			 			 	1	 	 	 	1
Vaches, lie aux	, Paris, France	Vaches, lie aux, Paris, France	48.852615, 2.36235		 			 	11	 	 	 	11
Vachette	, Paris, France	Vachette, Paris, France			 			 	12	 	 	 	12
Val-de-Grace, dome	, Paris, France	Val-de-Grace, dome, Paris, France			 			 	1	 	 	 	1
VaI-de-Grace, hospital	, Paris, France	VaI-de-Grace, hospital, Paris, France			 			 	1	 	 	 	1
Valentino	, Paris, France	Valentino, Paris, France			 			 	12	 	 	 	12
Valois, rue de	, Paris, France	Valois, rue de, Paris, France	48.852615, 2.36235		 			 	8	 	 	 	8
Vanneau, rue	, Paris, France	Vanneau, rue, Paris, France			 			 	10	 	 	 	10
Varennes, rue de	, Paris, France	Varennes, rue de, Paris, France			 			 	10	 	 	 	10
Varietes	, Paris, France	Varietes, Paris, France	48.870905, 2.34148		 			 	13	 	 	 	13
Vaudeville	, Paris, France	Vaudeville, Paris, France			 			 	13	 	 	 	13
Vaugirard, rue de	, Paris, France	Vaugirard, rue de, Paris, France			 			 	1	 	 	 	1
Veau-qui-Tette, Au	, Paris, France	Veau-qui-Tette, Au, Paris, France			 			 	4, 12	 	 	 	4, 12
Vefour	, Paris, France	Vefour, Paris, France	48.852615, 2.36235		 			 	12	 	 	 	12
Vendome, place	, Paris, France	Vendome, place, Paris, France			 			 	8	 	 	 	8
Vendome, rue de	, Paris, France	Vendome, rue de, Paris, France			 			 	4, 7	 	 	 	4, 7
Ventadour, place	, Paris, France	Ventadour, place, Paris, France			 			 	8	 	 	 	8
Ventadour, salle	, Paris, France	Ventadour, salle, Paris, France			 			 	13	 	 	 	13
Ventadour, theatre	, Paris, France	Ventadour, theatre, Paris, France			 			 	13	 	 	 	13
Venua	, Paris, France	Venua, Paris, France			 			 	12	 	 	 	12
Verdier	, Paris, France	Verdier, Paris, France			 			 	12	 	 	 	12
Verot-Dodat, passage	, Paris, France	Verot-Dodat, passage, Paris, France	48.847015, 2.268215		 			 	8	 	 	 	8
Verrerie, rue de la	, Paris, France	Verrerie, rue de la, Paris, France	45.315758, 7.039426		 			 	4	 	 	 	4
Verte, Grande-Rue	, Paris, France	Verte, Grande-Rue, Paris, France			 			 	8	 	 	 	8
Very	, Paris, France	Very, Paris, France	48.88185, 2.288565		 			 	12, 14	 	 	 	12, 14
Veuves, allée des	, Paris, France	Veuves, allée des, Paris, France			 			 	2	 	 	 	2
Victoire, rue de la	, Paris, France	Victoire, rue de la, Paris, France	45.315758, 7.039426		 			 	5, 9	 	 	 	5, 9
Victoires, place des	, Paris, France	Victoires, place des, Paris, France			 			 	8	 	 	 	8
Victorine	, Paris, France	Victorine, Paris, France	48.858075, 2.346505		 			 	12	 	 	 	12
Vide-Gousset, rue	, Paris, France	Vide-Gousset, rue, Paris, France			 			 	4	 	 	 	4
Vieille-Bouclerie, rue de la	, Paris, France	Vieille-Bouclerie, rue de la, Paris, France	48.86618, 2.34135		 			 	6	 	 	 	6
Vieille-Draperie, rue de la	, Paris, France	Vieille-Draperie, rue de la, Paris, France	49.96593, 3.970635		 			 	11	 	 	 	11
Vieille-Pelleterie, rue de la	, Paris, France	Vieille-Pelleterie, rue de la, Paris, France	49.96593, 3.970635		 			 	11	 	 	 	11
Vieille-du-Temple, rue	, Paris, France	Vieille-du-Temple, rue, Paris, France	49.96593, 3.970635		 			 	7	 	 	 	7
Vieille-Rue-du-Temple, la	, Paris, France	Vieille-Rue-du-Temple, la, Paris, France			 			 	7	 	 	 	7
Vierge, rue de la	, Paris, France	Vierge, rue de la, Paris, France	50.09643, 2.85933		 			 	10	 	 	 	10
Vieux-Augustins, rue des	, Paris, France	Vieux-Augustins, rue des, Paris, France	45.315758, 7.039426		 			 	4	 	 	 	4
Vieux Louvre	, Paris, France	Vieux Louvre, Paris, France			 			 	8	 	 	 	8
Vignes, rue des	, Paris, France	Vignes, rue des, Paris, France	44.719885, -0.023449		 			 	2	 	 	 	2
Vilie, Hotel de	, Paris, France	Vilie, Hotel de, Paris, France			 			 	8	 	 	 	8
Villedot, rue	, Paris, France	Villedot, rue, Paris, France	48.856955, 2.35368		 			 	8	 	 	 	8
ViIIe-l'Eveque	, Paris, France	ViIIe-l'Eveque, Paris, France			 			 	8	 	 	 	8
Ville-l'Eveque, rue	, Paris, France	Ville-l'Eveque, rue, Paris, France	48.87188, 2.31892		 			 	8	 	 	 	8
Vincennes, bois de	, Paris, France	Vincennes, bois de, Paris, France	48.84659, 2.412412		 			 	2	 	 	 	2
(Visconti), rue des Marais	, Paris, France	(Visconti), rue des Marais, Paris, France	47.95085, 0.36348		 			 	6	 	 	 	6
Monastère de la Visitation	, Paris, France	Monastère de la Visitation, Paris, France			48° 50_ 11_ N 2° 20_ 04_ E 	http://fr.wikipedia.org/wiki/Avenue_Denfert-Rochereau	http://upload.wikimedia.org/wikipedia/commons/1/17/P1010436_Paris_XIV_avenue_Denfer-Rochereau_Couvent_des_religieuses_de_la_Visitation_reductwk.JPG	 	1	 	 	 	1
Vitrée, Galerie	, Paris, France	Vitrée, Galerie, Paris, France			48°51_52_N 2°20_15_E 	http://fr.wikipedia.org/wiki/Palais-royal	http://www.visite.culture.gouv.fr/mediatheque/communs/images/apercu/0/51_4.jpg	 	14	 	 	 	14
Vivienne, passage	, Paris, France	Vivienne, passage, Paris, France	48.852615, 2.36235		48° 52_ 00_ N 2° 20_ 23_ E 	https://fr.wikipedia.org/wiki/Galerie_Vivienne	https://commons.wikimedia.org/wiki/File:Galerie_Vivienne_1820.jpg	 	8	 	 	 	8
Vivienne, rue	, Paris, France	Vivienne, rue, Paris, France			48° 52_ 06_ N 2° 20_ 23_ E 	https://fr.wikipedia.org/wiki/Rue_Vivienne	https://commons.wikimedia.org/wiki/File:P1010885_Paris_II_rue_Vivienne_immeuble_n°18_MH_rwk.JPG	 	8, 9	 	 	 	8, 9
Voltaire, Café	, Paris, France	Voltaire, Café, Paris, France	48.86622, 2.33861		48° 51_ 33_ N 2° 19_ 51_ E	http://fr.wikipedia.org/wiki/Quai_Voltaire	http://upload.wikimedia.org/wikipedia/commons/7/7b/Le_comité_des_étudiants,_préparant_la_Mi-Carême_1894,_au_café_Voltaire,_à_Paris.gif	 	12	 	 	 	12
Voltaire, quai	, Paris, France	Voltaire, quai, Paris, France			48° 51_ 33_ N 2° 19_ 51_ E	http://fr.wikipedia.org/wiki/Quai_Voltaire	http://en.wikipedia.org/wiki/File:SecondhandBooksellerQuaiVoltaire1821.jpg	 	10	 	 	 	10
Vrillière, rue de la	, Paris, France	Vrillière, rue de la, Paris, France			48° 51_ 56_ N 2° 20_ 25_ E 	http://fr.wikipedia.org/wiki/Rue_La_Vrillière	http://commons.wikimedia.org/wiki/File:Bdf_vrillere.jpg	 	8, 12	 	 	 	8, 12
Washington, passage de	, Paris, France	Washington, passage de, Paris, France	45.315758, 7.039426		48° 52_ 23_ N 2° 18_ 11_ E 	https://fr.wikipedia.org/wiki/Rue_Washington	https://commons.wikimedia.org/wiki/File:P1020137_Paris_VIII_Rue_Washington_reductwk.JPG	 	8	 	 	 	8
Washington, rue de	, Paris, France	Washington, rue de, Paris, France			48° 52_ 23_ N 2° 18_ 11_ E 	https://fr.wikipedia.org/wiki/Rue_Washington	https://commons.wikimedia.org/wiki/File:P1020137_Paris_VIII_Rue_Washington_reductwk.JPG	 	8	 	 	 	8
Watteau, rue	, Paris, France	Watteau, rue, Paris, France	48.834693, 2.357304		48° 50_ 06_ N 2° 21_ 24_ E 	http://fr.wikipedia.org/wiki/Rue_Watteau	http://media.notrefamille.com/cartes-postales-photos/cartes-postales-photos-Boulevard-de-la-Libert-et-Rue-Watteau-LILLE-59000-5548-20071001-8u5k4u0j5a4f1a5f0k6v.jpg-1-maxi.jpg	 	3	 	 	 	3
